time,mouse_movement,mouse_clicks
675,767.0412829,0.6875
676,1494.963865,0.25
677,1354.665945,3.0625
678,1544.264855,3.5
679,1424.504084,3.75
680,1164.218307,1.875
681,735.8537327,3.9375
682,2998.928395,3.875
683,1680.358477,3.875
684,1228.073515,3.875
685,1005.863062,2.9375
686,1027.935098,4.375
687,992.8390077,4.125
688,1157.231466,5
689,1039.833322,4.4375
690,1015.89763,4.1875
691,1789.395724,4
692,1257.939499,3.9375
693,1771.987841,5.875
694,2544.433915,4.875
695,2457.537602,3.375
696,1827.824542,4.625
697,2459.654948,3.25
698,1867.126498,1.5
699,1367.083141,2.6875
700,2065.814008,3.3125
701,2033.71292,2.5625
702,2663.848376,2.25
703,3933.555538,3.125
704,2062.009922,5.5
705,1789.539785,3.6875
706,2120.268197,4.8125
707,3236.61553,5.375
708,1791.49104,5.625
709,1837.320014,5.6875
710,3886.19186,3.8125
711,2531.771213,2.8125
712,1691.548329,3.3125
713,1656.948521,3.5625
714,2019.786276,1.6875
715,1863.091678,2.8125
716,1530.222367,4.375
717,1125.682971,5.125
718,906.7049399,3.5
719,1564.752654,1.75
720,2813.28101,2.8125
721,1738.245867,2.3125
722,1090.404588,3.0625
723,1609.773647,6.5
724,1859.630679,5.25
725,1596.802847,7.5625
726,2306.691581,4.75
727,3343.119294,6.3125
728,3963.849581,4
729,3862.876295,2.9375
730,3326.842007,3.3125
731,3957.633757,4.625
732,3329.19518,4.1875
733,2415.01243,5.0625
734,2031.183773,3.5
735,1980.908275,4.6875
736,1309.995055,3.25
737,1171.94265,4.5625
738,848.2845144,5.1875
739,2719.818006,2.5625
740,1740.039802,3.1875
741,1382.590578,6.5625
742,1078.136566,6.1875
743,1076.773165,6
744,1429.741402,7
745,2782.826188,6.4375
746,2512.204428,5.0625
747,2447.466121,5.4375
748,1839.180321,3.625
749,1370.326448,2.6875
750,1624.556476,1.25
751,1711.084842,0.5625
752,962.4026764,0.1875
753,488.8489323,2.0625
754,263.811806,2
755,158.3462397,2
756,220.6443452,3
757,1909.699849,1.5
758,3028.382934,0.6875
759,3637.631973,0.3125
760,3023.679117,1.125
761,1882.50776,3.5
762,1992.245967,2.75
763,1654.95806,2.375
764,1005.938246,1.1875
765,1697.326651,0.5625
766,2765.394208,0.1875
767,2326.176738,0.0625
768,1142.474002,0
769,580.9996414,0
770,251.997759,0
771,65.73385034,0
772,154.1302038,0
773,771.2562612,0
774,1772.505591,0
775,2524.301165,0
776,1262.150582,0
777,626.3306528,0
778,291.4698995,0
779,516.8266325,0
780,573.718513,0
781,523.7161688,0
782,2682.479524,1
783,2999.356857,2.5
784,1874.01541,4.25
785,1517.354783,2.125
786,1936.697812,2.0625
787,1288.18945,4
788,599.1069928,3.9375
789,793.3321399,1.875
790,799.6441198,1.9375
791,1307.473804,3.9375
792,1085.663955,1.875
793,543.6185891,0.875
794,256.0005005,0.4375
795,114.8292565,0.1875
796,27.89287237,0
797,188.8179551,0
798,94.37772755,0
799,303.9613923,0
800,591.3691415,2
801,703.3680391,4
802,356.7854116,7
803,2346.922321,5.5
804,2527.633698,4.75
805,2335.989984,4.3125
806,1591.245908,3.0625
807,1586.032733,1.375
808,1431.820776,3.625
809,762.8270229,2.75
810,1550.56736,2.3125
811,3402.968821,4.125
812,3397.528279,4.0625
813,3351.668177,3.9375
814,3065.560195,1.9375
815,3034.614736,2.9375
816,3280.509573,3.375
817,3378.86516,3.625
818,1766.302522,6.75
819,1670.910071,7.375
820,1329.472414,4.625
821,2442.6015,5.25
822,2017.266871,5.5625
823,2182.479975,6.625
824,2805.574589,4.1875
825,1537.40225,7.0625
826,2244.529527,6.4375
827,1439.693743,5.125
828,2571.947324,4.4375
829,2782.084933,5.1875
830,1950.768198,6.4375
831,1606.885896,4.125
832,1717.377339,3
833,1313.765143,5.4375
834,945.5403136,3.625
835,1112.314922,5.6875
836,1459.480839,4.8125
837,956.2093284,6.375
838,1259.841698,4.0625
839,1375.237474,6
840,1807.541023,7.875
841,2448.710715,6.875
842,1464.539238,5.3125
843,2385.391279,6.625
844,2443.225602,5.1875
845,2966.20964,6.4375
846,3698.195067,5.125
847,2868.428529,5.5
848,1547.802641,3.625
849,1717.653933,2.75
850,2016.596193,3.25
851,1686.247033,5.5625
852,2973.249695,4.6875
853,3697.421568,6.3125
854,2353.063093,4.125
855,2852.919141,6
856,1858.859505,4.875
857,3278.324497,4.375
858,2550.26578,2.0625
859,2707.917771,2
860,1786.402419,2.875
861,1682.655786,3.375
862,934.8550174,5.625
863,1329.597053,5.8125
864,1046.827,6.875
865,1260.136406,5.375
866,1477.115134,3.625
867,1956.992257,4.6875
868,2752.84749,5.25
869,1671.997009,4.5
870,1096.771854,5.1875
871,825.8185424,6.5625
872,2228.517152,6.1875
873,1344.013952,3
874,2096.366878,3.4375
875,1317.732011,4.625
876,1310.814526,5.1875
877,1346.008726,5.5
878,1276.690341,3.75
879,1004.738205,2.8125
880,1098.155157,4.3125
881,2924.55154,4.0625
882,2974.921452,3.9375
883,3311.991243,2.9375
884,2697.50318,2.4375
885,1920.530789,4.125
886,1724.105862,4
887,2491.900164,2.9375
888,2801.177023,2.4375
889,2461.848411,3.1875
890,1833.113443,3.5
891,2520.192189,4.6875
892,1481.08063,4.3125
893,2615.695005,5.125
894,2351.530275,3.5
895,2601.753235,3.6875
896,1715.7767,5.75
897,1056.459996,5.8125
898,2872.541674,5.8125
899,1847.648164,3.875
900,1462.339321,1.875
901,1895.042774,1.8125
902,2164.571572,0.8125
903,1737.327991,4.3125
904,1631.937211,4.125
905,1139.955611,6.0625
906,1458.787175,6
907,846.8864296,8
908,528.9387242,8.875
909,384.5957057,6.375
910,531.6736613,5.0625
911,1264.908599,5.4375
912,3019.355436,4.5625
913,3921.49407,3.125
914,2453.467454,3.5
915,1695.041318,4.6875
916,2572.304883,4.25
917,2359.174274,4.0625
918,1795.646566,6
919,2416.203733,4.9375
920,1578.101572,5.375
921,2364.642772,4.625
922,1318.252733,6.25
923,852.8117685,5
924,447.5419836,4.4375
925,606.1877798,5.125
926,416.42518,5.5
927,203.8438716,6.625
928,265.2289791,5.25
929,346.4102466,7.5625
930,1728.085597,3.6875
931,2543.182803,2.75
932,1643.245253,4.25
933,1987.078878,6.0625
934,3497.93883,2.875
935,3825.591257,1.4375
936,3459.281223,0.6875
937,1934.397083,0.25
938,1867.898329,0
939,1354.903947,0
940,2828.333497,1
941,2199.892762,2.5
942,1968.261116,2.25
943,2574.096717,1.125
944,1720.57489,0.5625
945,1202.870393,1.25
946,2329.659469,1.5625
947,1675.069835,1.75
948,1247.05295,1.875
949,1613.589893,0.9375
950,810.7523183,0.4375
951,350.5530389,0.1875
952,158.4769495,0.0625
953,65.85973122,0
954,11.5517767,0
955,93.66421356,0
956,721.2766599,0
957,756.4074971,0
958,473.2435664,0
959,1826.978303,0
960,1298.816564,0
961,771.3805169,0
962,714.5372442,0
963,354.2976512,0
964,245.5236799,0
965,110.6340163,0
966,281.6982288,0
967,144.843007,0
968,942.3760869,0
969,1026.297178,0
970,2322.177808,1
971,2548.689084,1.5
972,2490.079283,2.75
973,2022.442262,3.375
974,3665.159836,3.6875
975,2807.462993,2.8125
976,2317.247435,4.375
977,2458.048755,5.125
978,1972.717688,4.5
979,1129.7097,6.1875
980,1035.871745,4.0625
981,786.220428,3.9375
982,1130.378723,2.875
983,542.1632146,2.375
984,1175.875078,3.0625
985,3238.301192,3.5
986,1798.875545,3.6875
987,1939.789832,5.8125
988,969.8636662,3.875
989,477.849735,2.875
990,2731.878867,2.375
991,2783.750576,3.125
992,3039.374501,3.4375
993,2800.106361,2.6875
994,2690.361248,4.3125
995,2448.778461,4.125
996,2169.701247,3
997,3083.02075,1.4375
998,4557.33239,1.6875
999,2606.04951,2.75
1000,2018.266739,2.3125
1001,1784.116623,3.125
1002,1707.811929,3.5625
1003,2490.027515,2.75
1004,1889.734266,2.3125
1005,1568.425426,3.125
1006,2447.417265,1.5
1007,2910.775611,3.6875
1008,1603.868394,4.8125
1009,1569.704099,5.375
1010,1141.627477,3.625
1011,1688.208967,2.8125
1012,1651.612314,2.3125
1013,1864.566086,2.0625
1014,1433.280691,2.9375
1015,1309.542148,4.4375
1016,1334.17118,5.1875
1017,1342.421307,5.5625
1018,854.7516186,4.75
1019,1868.011929,4.3125
1020,1958.411113,4.0625
1021,2392.672169,4.9375
1022,2298.047502,5.375
1023,3416.735479,3.625
1024,2247.4957,2.75
1025,1688.996112,2.3125
1026,1491.342066,2.0625
1027,1631.13709,1.9375
1028,1345.464092,4.9375
1029,2372.480468,2.4375
1030,1490.318772,4.1875
1031,1377.119581,5.0625
1032,1097.19633,5.5
1033,554.6461964,4.625
1034,223.6350019,4.3125
1035,291.5272833,3.0625
1036,181.1023635,5.4375
1037,288.644489,4.625
1038,406.7050737,5.25
1039,379.0510217,5.5625
1040,558.463489,4.75
1041,819.17321,3.25
1042,624.4935,4.5625
1043,577.2562517,4.1875
1044,355.0304704,5
1045,1573.881513,3.4375
1046,940.7870707,2.6875
1047,1587.687556,2.25
1048,1324.932175,5.0625
1049,1111.586371,5.4375
1050,1867.328944,3.6875
1051,1843.196519,1.8125
1052,1293.660346,3.875
1053,1078.234996,5.8125
1054,871.508804,5.8125
1055,534.7491695,4.875
1056,530.5539613,5.4375
1057,302.3805997,4.625
1058,145.1819197,6.1875
1059,82.59137065,8
1060,527.7219706,5.9375
1061,585.6605121,5.875
1062,704.1443133,5.875
1063,683.3962658,2.8125
1064,1632.279104,3.25
1065,3232.240258,4.5625
1066,2883.877149,5.1875
1067,2104.217876,4.5
1068,3100.465969,5.25
1069,3192.032701,3.5625
1070,1962.173527,1.6875
1071,1879.550205,0.75
1072,1995.516762,2.3125
1073,2003.238497,3.0625
1074,1198.751562,4.5
1075,2571.467311,3.25
1076,2247.165012,4.625
1077,2750.620248,4.25
1078,1978.506467,4.0625
1079,4254.295062,2.9375
1080,3174.276618,6.4375
1081,4630.440372,6.125
1082,2473.235342,8
1083,2670.048093,4.9375
1084,3706.484207,4.4375
1085,3418.068418,3.0625
1086,4510.732577,2.4375
1087,2729.888821,2.0625
1088,2376.408549,4
1089,1349.514783,5.9375
1090,972.0217984,5.9375
1091,551.0119643,8.9375
1092,286.4721611,8.4375
1093,234.6227771,7.125
1094,231.1352577,5.4375
1095,498.4967896,6.625
1096,781.3768616,3.125
1097,844.9108514,3.4375
1098,515.3959087,4.625
1099,475.0429709,5.25
1100,317.5295479,4.5
1101,264.1259845,5.25
1102,175.5000052,6.5625
1103,221.0378228,6.1875
1104,157.8510822,7
1105,167.1118055,7.4375
1106,1386.427116,3.625
1107,761.8970628,2.6875
1108,1222.958459,2.25
1109,1931.257305,2
1110,1468.202262,0.875
1111,1905.970872,2.4375
1112,1653.98115,2.1875
1113,1323.801306,1.0625
1114,1352.100264,1.5
1115,2116.979015,0.75
1116,1020.592516,0.3125
1117,488.3213085,0.125
1118,679.217056,0.0625
1119,474.6021027,0
1120,444.8670518,0
